Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,3.72,3.80,3.72,3.76,106300,3.76
2016-11-21,3.88,3.88,3.71,3.71,95500,3.71
2016-11-18,3.79,3.79,3.71,3.79,113300,3.79
2016-11-17,3.71,3.78,3.71,3.77,42100,3.77
2016-11-16,3.79,3.87,3.70,3.70,49100,3.70
2016-11-15,3.89,3.90,3.77,3.79,99300,3.79
2016-11-14,3.90,3.91,3.84,3.89,62200,3.89
2016-11-11,3.80,3.89,3.78,3.85,670600,3.85
2016-11-10,3.82,3.92,3.77,3.86,115800,3.86
2016-11-09,3.78,3.82,3.71,3.73,478600,3.73
2016-11-08,3.81,3.82,3.71,3.78,127800,3.78
2016-11-07,3.80,3.90,3.78,3.80,79700,3.80
2016-11-04,3.85,3.94,3.76,3.80,141500,3.80
2016-11-03,3.88,3.88,3.82,3.83,51800,3.83
2016-11-02,3.81,3.89,3.81,3.89,117700,3.89
2016-11-01,3.81,3.88,3.81,3.84,80700,3.84
2016-10-31,3.91,3.92,3.80,3.81,61800,3.81
2016-10-28,3.82,3.86,3.79,3.85,187900,3.85
2016-10-27,4.00,4.05,3.75,3.81,433800,3.81
2016-10-26,3.94,4.10,3.87,3.99,199100,3.99
2016-10-25,3.79,3.98,3.76,3.90,113200,3.90
2016-10-24,3.82,3.91,3.60,3.75,263100,3.75
2016-10-21,3.91,3.91,3.75,3.78,182000,3.78
2016-10-20,3.94,3.95,3.87,3.91,62800,3.91
2016-10-19,3.93,3.93,3.87,3.89,68200,3.89
2016-10-18,3.94,3.95,3.90,3.92,99100,3.92
2016-10-17,4.01,4.03,3.92,3.93,96600,3.93
2016-10-14,4.10,4.10,3.99,3.99,29400,3.99
2016-10-13,4.16,4.16,3.98,3.99,111000,3.99
2016-10-12,4.15,4.25,4.15,4.15,117600,4.15
2016-10-11,4.10,4.19,4.06,4.16,54100,4.16
2016-10-10,4.15,4.17,4.08,4.12,60300,4.12
2016-10-07,4.20,4.20,4.05,4.11,119000,4.11
2016-10-06,4.28,4.35,4.17,4.20,144800,4.20
2016-10-05,4.31,4.36,4.29,4.36,75900,4.36
2016-10-04,4.40,4.43,4.31,4.34,179600,4.34
2016-10-03,4.36,4.40,4.30,4.35,44100,4.35
2016-09-30,4.19,4.39,4.19,4.37,96800,4.37
2016-09-29,4.37,4.37,4.16,4.28,80400,4.28
2016-09-28,4.41,4.41,4.31,4.37,45400,4.291
2016-09-27,4.34,4.41,4.33,4.38,231700,4.301
2016-09-26,4.41,4.41,4.33,4.38,103400,4.301
2016-09-23,4.35,4.44,4.34,4.38,91100,4.301
2016-09-22,4.28,4.37,4.27,4.35,132200,4.272
2016-09-21,4.22,4.30,4.22,4.28,95400,4.203
2016-09-20,4.17,4.24,4.15,4.23,144800,4.154
2016-09-19,4.14,4.17,4.13,4.15,18700,4.075
2016-09-16,4.03,4.19,4.03,4.19,261900,4.115
2016-09-15,4.01,4.055,3.95,4.03,164400,3.958
2016-09-14,3.96,4.04,3.91,4.01,290400,3.938
2016-09-13,3.97,3.99,3.90,3.90,166500,3.83
2016-09-12,3.94,4.00,3.93,3.96,203400,3.889
2016-09-09,3.97,3.98,3.92,3.95,129100,3.879
2016-09-08,4.01,4.04,3.96,3.99,1445800,3.918
2016-09-07,4.05,4.05,3.93,4.01,279500,3.938
2016-09-06,4.08,4.19,4.02,4.04,330700,3.967
2016-09-05,3.86,4.03,3.85,4.02,494200,3.948
2016-09-02,3.83,3.87,3.81,3.83,185600,3.761
2016-09-01,3.91,3.92,3.83,3.83,200400,3.761
2016-08-31,3.96,4.00,3.88,3.89,176300,3.82
2016-08-30,3.90,3.98,3.90,3.96,1755100,3.889
2016-08-29,3.99,4.00,3.90,3.91,183600,3.84
2016-08-26,3.98,4.00,3.93,3.97,234600,3.899
2016-08-25,4.04,4.04,3.91,3.93,521000,3.859
2016-08-24,4.07,4.09,3.95,4.01,397600,3.938
2016-08-23,4.05,4.14,4.01,4.06,374300,3.987
2016-08-22,4.25,4.25,4.01,4.10,466900,4.026
2016-08-19,4.30,4.30,4.24,4.25,163700,4.174
2016-08-18,4.29,4.30,4.20,4.20,356800,4.124
2016-08-17,4.35,4.38,4.25,4.27,922800,4.193
2016-08-16,4.40,4.425,4.28,4.30,89400,4.223
2016-08-15,4.56,4.56,4.32,4.45,794800,4.37
2016-08-12,4.49,4.70,4.49,4.54,3314900,4.458
2016-08-11,4.19,4.32,4.19,4.31,184100,4.233
2016-08-10,4.16,4.27,4.16,4.24,204000,4.164
2016-08-09,4.18,4.19,4.15,4.16,58100,4.085
2016-08-08,4.16,4.18,4.13,4.16,238300,4.085
